date,equity
2018-08-31,16.02088074255161
2018-09-03,15.97118673986961
2018-09-04,15.7195794345977
2018-09-05,15.509537213658303
2018-09-06,15.46259004459244
2018-09-07,15.424516545239618
2018-09-10,15.266834027265057
2018-09-11,15.102347256698755
2018-09-12,15.16544646144208
2018-09-14,15.211642034148577
2018-09-17,15.213584392891601
2018-09-18,15.139420733129361
2018-09-19,14.971081860206281
2018-09-21,14.550416009275898
2018-09-24,14.450622945326787
2018-09-25,14.250268189221782
2018-09-26,14.115368554286903
2018-09-27,13.918154363434722
2018-09-28,13.842333401493276
2018-10-01,13.763971640829753
2018-10-03,13.428556423088517
2018-10-04,12.872880594596166
2018-10-05,12.53551618599335
2018-10-08,12.434711944489123
2018-10-09,12.349709573185077
2018-10-10,12.700417781588014
2018-10-11,12.28009250583784
2018-10-12,12.365206163150702
2018-10-15,12.55890539640805
2018-10-16,12.703954782692012
2018-10-17,12.756845185319461
2018-10-19,12.872352743089102
2018-10-22,12.848057678560918
2018-10-23,12.514932656307925
2018-10-24,12.45058675257033
2018-10-25,12.041968261017688
2018-10-26,12.01108755323351
2018-10-29,12.1795595423414
2018-10-30,12.111735990603867
2018-10-31,12.374808238337106
2018-11-01,12.15216823013014
2018-11-02,11.979794831466219
2018-11-05,11.96922276792054
2018-11-06,11.857297811320926
2018-11-07,11.920410414059871
2018-11-09,12.11465945566116
2018-11-12,12.194826927854976
2018-11-13,12.215800826133913
2018-11-14,12.142593616981179
2018-11-15,12.031757777871425
2018-11-16,12.05483413621667
2018-11-19,12.104487646345909
2018-11-20,12.123350867404074
2018-11-21,12.136086743653655
2018-11-22,12.035644646877262
2018-11-26,12.010868688694329
2018-11-27,11.971475161114432
2018-11-28,12.009119177909911
2018-11-29,11.910044287194086
2018-11-30,12.319777293471578
2018-12-03,12.372384901724335
2018-12-04,12.40289140902573
2018-12-05,12.274686011016902
2018-12-06,12.101838074574724
2018-12-07,11.971730168383194
2018-12-10,11.708015045920535
2018-12-11,12.012232316798597
2018-12-12,12.159958171861954
2018-12-13,12.205128398691356
2018-12-14,12.165807957574879
2018-12-17,12.12029632653362
