,turnover
2021-12-31,0.4460640071453754
2022-01-31,0.03033198431116317
2022-02-28,0.22532734059782958
2022-03-31,0.2672656652752712
2022-04-29,0.22010143615834815
2022-05-31,0.41324737637720355
2022-06-30,0.3882448632205065
2022-07-29,0.27930916591706667
2022-08-30,0.26773149965890886
2022-09-30,0.21931147655253203
2022-10-31,0.6325592247120682
2022-11-30,0.42241738501698667
2022-12-30,0.21818722796799855
2023-01-31,0.4727706272597676
2023-02-28,0.21594586945928418
2023-03-31,0.2577684081115514
2023-04-28,0.49788367675768525
2023-05-31,0.6665626824079692
2023-06-30,0.6671428488780842
2023-07-31,0.4481842515932349
2023-08-31,0.42199175938044853
2023-09-29,0.4837562553160967
2023-10-31,0.05452161755284296
2023-11-30,0.0837314634049829
2023-12-29,0.29349595353409363
2024-01-31,0.48951033126767735
2024-02-29,0.23591406608561427
2024-03-28,0.020408050564883387
2024-04-30,0.26066546118100764
2024-05-31,0.04067892685085346
2024-06-28,0.011522565573970966
2024-07-31,0.46694504939416764
2024-08-30,0.39814663531744987
2024-09-30,0.5989842265939613
2024-10-31,0.2259699594389767
2024-11-29,0.4383687754240152
2024-12-31,0.6252137433241044
2025-01-31,0.449640850810741
2025-02-28,0.570343754867424
2025-03-28,0.2661339788395538
2025-04-30,0.2498283547389862
2025-05-30,0.24346402069045253
2025-06-30,0.824815816909612
2025-07-31,0.23132278182350807
2025-08-29,0.42937258318929117
2025-09-30,0.4064312458051121
2025-10-31,0.22839684237731633
2025-11-28,0.24205599944028866
2025-12-31,0.5986216049741919
2026-01-30,0.19738668419533623
2026-02-27,0.6327946436213492
2026-03-30,0.4351832669266317
2026-04-17,0.6547988220482476
2026-05-29,0.4
