ticker,score,rebalance_date
ADANIGREEN,0.5721219850407515,2026-06-28
NAVINFLUOR,0.5501984337448462,2026-06-28
RBLBANK,0.5327648813017678,2026-06-28
BHARATFORG,0.5253262962767311,2026-06-28
GLENMARK,0.46071349773260484,2026-06-28
TORNTPHARM,0.4425722162384953,2026-06-28
MOTHERSON,0.42994957246217935,2026-06-28
NMDC,0.41909897665700435,2026-06-28
ABCAPITAL,0.4019517274006885,2026-06-28
ASHOKLEY,0.40106032881741327,2026-06-28
FEDERALBNK,0.40064994045516844,2026-06-28
CGPOWER,0.36122510377546724,2026-06-28
JINDALSTEL,0.36034864872972494,2026-06-28
GLAND,0.35461733219376756,2026-06-28
CUB,0.3427744768960399,2026-06-28
AUROPHARMA,0.3136075253879327,2026-06-28
ATGL,0.3102414990903366,2026-06-28
INDIACEM,0.30850894688884667,2026-06-28
BANKINDIA,0.29881611227814586,2026-06-28
PAYTM,0.29499533443965387,2026-06-28
DELHIVERY,0.28475616084524447,2026-06-28
MUTHOOTFIN,0.27948947611734476,2026-06-28
FORTIS,0.27379866933659147,2026-06-28
AUBANK,0.2651530396206274,2026-06-28
JBCHEPHARM,0.25663045394105,2026-06-28
CANBK,0.2512591558095518,2026-06-28
METROPOLIS,0.24886123619502798,2026-06-28
BIOCON,0.23175716388998668,2026-06-28
ABB,0.21678599546255928,2026-06-28
UNIONBANK,0.2157474500574985,2026-06-28
MARICO,0.2146326066361668,2026-06-28
GMRAIRPORT,0.20834870770477432,2026-06-28
TVSMOTOR,0.20779140220253245,2026-06-28
SIEMENS,0.2067388495098843,2026-06-28
JSWENERGY,0.20578811974237565,2026-06-28
M&MFIN,0.1910962145918187,2026-06-28
TATACOMM,0.18863707752662817,2026-06-28
LUPIN,0.175851158853771,2026-06-28
CESC,0.17579089158912864,2026-06-28
VBL,0.166650435892862,2026-06-28
IPCALAB,0.16256798704028008,2026-06-28
BANKBARODA,0.15716429175409274,2026-06-28
YESBANK,0.15357327708797652,2026-06-28
ALKEM,0.15313421585550868,2026-06-28
ZYDUSLIFE,0.14746449969323105,2026-06-28
OFSS,0.14510408193311708,2026-06-28
BOSCHLTD,0.13112700281618128,2026-06-28
LALPATHLAB,0.11798280938608974,2026-06-28
CARBORUNIV,0.10863765650920199,2026-06-28
IOC,0.10689740709198015,2026-06-28
CANFINHOME,0.10621996855873572,2026-06-28
PFC,0.09949024571893239,2026-06-28
TIINDIA,0.09860991702409905,2026-06-28
SOLARINDS,0.09815037737673649,2026-06-28
HDFCAMC,0.09559149156090174,2026-06-28
TATAPOWER,0.09151496665440018,2026-06-28
JSL,0.08171643008826401,2026-06-28
INDUSTOWER,0.07902550871060621,2026-06-28
HINDPETRO,0.06505672850241084,2026-06-28
APLAPOLLO,0.05900022259481319,2026-06-28
MFSL,0.05453519547241803,2026-06-28
TORNTPOWER,0.046994094643993733,2026-06-28
UPL,0.04523223889373629,2026-06-28
EXIDEIND,0.04198825983900045,2026-06-28
PNB,0.035229028267602214,2026-06-28
ASTRAL,0.028502820665666118,2026-06-28
IDFCFIRSTB,0.02171194327546666,2026-06-28
GNFC,0.02139369127759161,2026-06-28
PVRINOX,0.01823203416125896,2026-06-28
CHOLAFIN,0.015147479905867733,2026-06-28
PIDILITIND,0.008667800132017733,2026-06-28
NHPC,0.003919361312614278,2026-06-28
BERGEPAINT,-0.009824399228829273,2026-06-28
PETRONET,-0.02214769329778865,2026-06-28
