,turnover
2021-12-31,0.3194947010085387
2022-01-31,0.23155771115190887
2022-02-28,0.168344396064689
2022-03-31,0.2598219453851689
2022-04-29,0.21955030114513896
2022-05-31,0.29570291598079407
2022-06-30,0.1659172062618067
2022-07-29,0.26649124682260295
2022-08-30,0.18823995665964832
2022-09-30,0.3163246686084171
2022-10-31,0.23732336232827286
2022-11-30,0.29915350971248145
2022-12-30,0.3468947639698383
2023-01-31,0.1848132719366569
2023-02-28,0.17573209160899222
2023-03-31,0.2386947133536695
2023-04-28,0.19666949440713216
2023-05-31,0.4646852940756032
2023-06-30,0.37561945417711895
2023-07-31,0.40452821182420684
2023-08-31,0.3688579080114034
2023-09-29,0.35043475590189177
2023-10-31,0.3019014683954121
2023-11-30,0.39515311576017415
2023-12-29,0.372041447035681
2024-01-31,0.2566725748006893
2024-02-29,0.36607302151147025
2024-03-28,0.2264163089843281
2024-04-30,0.3976694685413574
2024-05-31,0.2427748374881501
2024-06-28,0.1736139348105473
2024-07-31,0.19000515632812795
2024-08-30,0.355862057934532
2024-09-30,0.3137443712590018
2024-10-31,0.23775799872663111
2024-11-29,0.22641593376317307
2024-12-31,0.41871762902746634
2025-01-31,0.43060499740202707
2025-02-28,0.5233519298047433
2025-03-28,0.3441456874913542
2025-04-30,0.2999224188009413
2025-05-30,0.24965035201464023
2025-06-30,0.3178620230792766
2025-07-31,0.25207292539349424
2025-08-29,0.22358947170472993
2025-09-30,0.2839372714958279
2025-10-31,0.4411466797693464
2025-11-28,0.36856343645736034
2025-12-31,0.27571633298591924
2026-01-30,0.2780752092886104
2026-02-27,0.2351142971009467
2026-03-30,0.24739417425158342
2026-04-30,0.46525729392462
